BibCode,Title,Author,AUaff1,AUaff2,AUaff3,Publication,Date,YYYY,URL,DOI,Notes,Instru,ObsDate,ProjCode,TAC,Subject
2012ApJS..201...29H,A Local Baseline of the Black Hole Mass Scaling Relations for Active Galaxies. II. Measuring Stellar Velocity Dispersion in Active Galaxies,"Harris, C.|Bennert, V.|Auger, M.|et. al.",,,,ApJS 201 29,2012 August,2012,http://dx.doi.org/10.1088/0067-0049/201/2/29,10.1088/0067-0049/201/2/29,,LRIS,,,UC,
2012ApJ...755...61S,The SDSS-II Supernova Survey: Parameterizing the Type Ia Supernova Rate as a Function of Host Galaxy Properties,"Smith, M.|Nichol, R.|Dilday, B.|et. al.",,,,ApJ 755 61,2012 August,2012,http://dx.doi.org/10.1088/0004-637X/755/1/61,10.1088/0004-637X/755/1/61,,LRIS,,,,
2012ApJ...755...73W,Constraints on the Low-mass End of the Mass-Metallicity Relation at z = 1-2 from Lensed Galaxies,"Wuyts, E.|Rigby, J.|Sharon, K.|Gladders, M.",,,,ApJ 755 73,2012 August,2012,http://dx.doi.org/10.1088/0004-637X/755/1/73,10.1088/0004-637X/755/1/73,Data presented in this paper were partly obtained at the W. M. Keck Observatory from telescope time allocated to the National Aeronautics and Space Administration through the scientific partnership with the California Institute of Technology and the University of California.,NIRSPEC,,,NASA,
2012ApJ...755...89R,Metallicity Evolution of Damped Lyman-alpha Systems out to z~5,"Rafelski, M.|Wolfe, A.|Prochaska, J.|et. al.",,,,ApJ 755 89,2012 August,2012,http://dx.doi.org/10.1088/0004-637X/755/2/89,10.1088/0004-637X/755/2/89,,ESI|HIRES,,,,
2012AN....333..561V,GJ 581 update: Additional evidence for a Super-Earth in the habitable zone,"Vogt, S.|Butler, R.|Haghighipour, N.",,,,Astronomische Nachrichten 333 561,2012 August,2012,,10.1002/asna.201211707,,HIRES,,,,
2012ApJ...755L..34C,Direct Detection and Orbit Analysis of the Exoplanets HR 8799 bcd from Archival 2005 Keck/NIRC2 Data,"Currie, T.|Fukagawa, M.|Thalmann, C.|et. al.",,,,ApJ 755 L34,2012 August,2012,http://dx.doi.org/10.1088/2041-8205/755/2/L34,10.1088/2041-8205/755/2/L34,exoplanet|nasa added from NASA bib,AO|NGS|NIRC2,,,KOA|NASA,
2012MNRAS.424.3101G,Photometric transit search for planets around cool stars from the western Italian Alps: a pilot study,"Giacobbe, P.|Damasso, M.|Sozzetti, A.|et. al.",,,,MNRAS 424 3101,2012 August,2012,http://dx.doi.org/10.1111/j.1365-2966.2012.21467.x,10.1111/j.1365-2966.2012.21467.x,,HIRES,,,KOA,
2012ApJS..201...19D,The Hawaii Infrared Parallax Program. I. Ultracool Binaries and the L/T Transition,"Dupuy, T.|Liu, M.",,,,ApJS 201 19,2012 August,2012,http://dx.doi.org/10.1088/0067-0049/201/2/19,10.1088/0067-0049/201/2/19,,AO|LGS|NGS|NIRC2,,,UH,
2012ApJ...755..134S,Two Distant Halo Velocity Groups Discovered by the Palomar Transient Factory,"Sesar, B.|Cohen, J.|Levitan, D.|et. al.",,,,ApJ 755 134,2012 August,2012,http://dx.doi.org/10.1088/0004-637X/755/2/134,10.1088/0004-637X/755/2/134,,LRIS,,,Caltech,
2012ApJ...754..127Q,Searching for Young Jupiter Analogs around AP Col: L-band High-contrast Imaging of the Closest Pre-main-sequence Star,"Quanz, S.|Crepp, J.|Janson, M.|et. al.",,,,ApJ 754 127,2012 August,2012,http://dx.doi.org/10.1088/0004-637X/754/2/127,10.1088/0004-637X/754/2/127,exoplanet|first author - ETH Zurich,AO|NIRC2|NGS,,,Caltech,
2012AJ....144...55M,Dynamical Measurements of the Young Upper Scorpius Triple NTTS 155808-2219,"Mace, G.|Prato, L.|Torres, G.|et. al.",,,,AJ 144 55,2012 August,2012,http://dx.doi.org/10.1088/0004-6256/144/2/55,10.1088/0004-6256/144/2/55,"NASA TAC - 2007 Apr 30.  ""Some of the data described herein was taken on the Keck II telescope with time granted by NOAO, through the Telescope System Instrumentation Program (TSIP). TSIP is funded by NSF.""",AO|NGS|NIRSPAO|NIRSPEC,,,NASA|TSIP|NOAO|UC,
2012ApJS..201...32S,Photometric Redshift Probability Distributions for Galaxies in the SDSS DR8,"Sheldon, E.|Cunha, C.|Mandelbaum, R.|et. al.",,,,ApJS 201 32,2012 August,2012,http://dx.doi.org/10.1088/0067-0049/201/2/32,10.1088/0067-0049/201/2/32,,DEIMOS,,,,
2012ApJ...755..173E,The First Hyper-luminous Infrared Galaxy Discovered by WISE,"Eisenhardt, P.|Wu, J.|Tsai, C.|et. al.",,,,ApJ 755 173,2012 August,2012,http://dx.doi.org/10.1088/0004-637X/755/2/173,10.1088/0004-637X/755/2/173,NASA TAC - 20July11,AO|LGS|LRIS|NIRC2,,,NASA|UC,
2012ApJ...755..125G,Type Ia Supernova Properties as a Function of the Distance to the Host Galaxy in the SDSS-II SN Survey,"Galbany, L.|Miquel, R.|Östman, L.|et. al.",,,,ApJ 755 125,2012 August,2012,http://dx.doi.org/10.1088/0004-637X/755/2/125,10.1088/0004-637X/755/2/125,,LRIS,,,,
2012ApJ...755...98M,Discovery of Bright Galactic R Coronae Borealis and DY Persei Variables: Rare Gems Mined from ACVS,"Miller, A.|Richards, J.|Bloom, J.|et. al.",,,,ApJ 755 98,2012 August,2012,http://dx.doi.org/10.1088/0004-637X/755/2/98,10.1088/0004-637X/755/2/98,,LRIS,,,,
2012ApJ...755..161K,Calcium-rich Gap Transients in the Remote Outskirts of Galaxies,"Kasliwal, M.|Kulkarni, S.|Gal-Yam, A.|et. al.",,,,ApJ 755 161,2012 August,2012,http://dx.doi.org/10.1088/0004-637X/755/2/161,10.1088/0004-637X/755/2/161,,AO|DEIMOS|LGS|LRIS|NIRC2,,,Caltech,
2012MNRAS.424.1952G,Empirical Constraints of Super-Galactic Winds at z >= 0.5,"Gauthier, J.|Chen, H.",,,,MNRAS 424 1952,2012 August,2012,http://dx.doi.org/10.1111/j.1365-2966.2012.21327.x,10.1111/j.1365-2966.2012.21327.x,Check Title,HIRES,,,KOA,
2012AJ....144...59P,Evolution in the Volumetric Type Ia Supernova Rate from the Supernova Legacy Survey,"Perrett, K.|Sullivan, M.|Conley, A.|et. al.",,,,AJ 144 59,2012 August,2012,http://dx.doi.org/10.1088/0004-6256/144/2/59,10.1088/0004-6256/144/2/59,,LRIS,,,,
2012Icar..220..694S,Post-equinox dynamics and polar cloud structure on Uranus,"Sromovsky, L.|Fry, P.|Hammel, H.|et. al.",,,,Icarus 220 694,2012 August,2012,http://dx.doi.org/10.1016/j.icarus.2012.05.029,10.1016/j.icarus.2012.05.029,NASA TAC - 26 July 2011,AO|NGS|NIRC2,,,NASA,
2012ApJ...755L..26D,High-velocity Outflows without AGN Feedback: Eddington-limited Star Formation in Compact Massive Galaxies,"Diamond-Stanic, A.|Moustakas, J.|Tremonti, C.|et. al.",,,,ApJ 755 L26,2012 August,2012,http://dx.doi.org/10.1088/2041-8205/755/2/L26,10.1088/2041-8205/755/2/L26,,HIRES|LRIS,,,,
2012Sci...337..942D,PTF 11kx: A Type Ia Supernova with a Symbiotic Nova Progenitor,"Dilday, B.|Howell, D.|Cenko, S.|et. al.",,,,Science 337 942,2012 August,2012,http://dx.doi.org/10.1126/science.1219164,10.1126/science.1219164,,HIRES,,,,
2012AJ....144...70F,"Orbits, Masses, and Evolution of Main Belt Triple (87) Sylvia","Fang, J.|Margot, J.|Rojo, P.",,,,AJ 144 70,2012 August,2012,http://dx.doi.org/10.1088/0004-6256/144/2/70,10.1088/0004-6256/144/2/70,,AO|NGS|NIRC2,,,UC,
2012Sci...337..556C,Kepler-36: A Pair of Planets with Neighboring Orbits and Dissimilar Densities,"Carter, J.|Agol, E.|Chaplin, W.|et. al.",,,,Science 337 556,2012 August,2012,http://dx.doi.org/10.1126/science.1223269,10.1126/science.1223269,,HIRES,,,,
2012MNRAS.425..556R,Constraining the variation of fundamental constants at z ~ 1.3 using 21-cm absorbers,"Rahmani, H.|Srianand, R.|Gupta, N.|et. al.",,,,MNRAS 425 556,2012 September,2012,http://dx.doi.org/10.1111/j.1365-2966.2012.21503.x,10.1111/j.1365-2966.2012.21503.x,,HIRES,,,,
